url_id,business_function,page_title,status,status_code,content_chars,quality_status,quality_reasons,retention_ratio,faq_count,table_count,action_count,attachment_count,downloaded_attachment_count,image_count,video_count,supplementary_link_count,asset_failure_count,pagination_detected,pagination_is_complete,pagination_page_count,pagination_failure_count,raw_html_path,response_meta_path,parsed_markdown_path,parsed_json_path,error_type,error,started_at,finished_at
DP-001,예금자보호제도,보호한도,parse_success,200.0,1110,pass,,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-001.html,raw/response_meta/예금자보호제도/DP-001.json,parsed/markdown/예금자보호제도/DP-001.md,parsed/json/예금자보호제도/DP-001.json,,,2026-07-21T11:20:09+09:00,2026-07-21T11:20:12+09:00
DP-002,예금자보호제도,예금자보호제도,parse_success,200.0,740,pass,,1.0,0,0,0,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-002.html,raw/response_meta/예금자보호제도/DP-002.json,parsed/markdown/예금자보호제도/DP-002.md,parsed/json/예금자보호제도/DP-002.json,,,2026-07-21T11:20:13+09:00,2026-07-21T11:20:15+09:00
DP-003,예금자보호제도,보호대상 금융회사 개요,parse_success,200.0,1073,pass,,1.0,0,1,2,2,2,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-003.html,raw/response_meta/예금자보호제도/DP-003.json,parsed/markdown/예금자보호제도/DP-003.md,parsed/json/예금자보호제도/DP-003.json,,,2026-07-21T11:20:16+09:00,2026-07-21T11:20:19+09:00
DP-004,예금자보호제도,보호대상 금융상품 개요,parse_success,200.0,2532,pass,,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-004.html,raw/response_meta/예금자보호제도/DP-004.json,parsed/markdown/예금자보호제도/DP-004.md,parsed/json/예금자보호제도/DP-004.json,,,2026-07-21T11:20:20+09:00,2026-07-21T11:20:22+09:00
DP-005,예금자보호제도,예금자보호제도 FAQ,paginated_full_collection_created,200.0,12519,pass,,1.0,38,0,0,0,0,0.0,0.0,0.0,0.0,True,True,4,0.0,raw/html/예금자보호제도/DP-005.html,raw/response_meta/예금자보호제도/DP-005.json,parsed/markdown/예금자보호제도/DP-005.md,parsed/json/예금자보호제도/DP-005.json,,,2026-07-21T11:20:24+09:00,2026-07-21T11:20:32+09:00
DP-006,예금자보호제도,예금자보호제도 FAQ,parse_success,200.0,3932,pass,,1.0,17,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-006.html,raw/response_meta/예금자보호제도/DP-006.json,parsed/markdown/예금자보호제도/DP-006.md,parsed/json/예금자보호제도/DP-006.json,,,2026-07-21T11:20:33+09:00,2026-07-21T11:20:36+09:00
DP-007,예금자보호제도,예금자보호한도(해외),parse_success,200.0,313,pass,,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-007.html,raw/response_meta/예금자보호제도/DP-007.json,parsed/markdown/예금자보호제도/DP-007.md,parsed/json/예금자보호제도/DP-007.json,,,2026-07-21T11:20:37+09:00,2026-07-21T11:20:40+09:00
BI-001,예금보험금 안내,신청시 구비서류,parse_success,200.0,2334,pass,,1.0,0,1,10,10,10,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금보험금 안내/BI-001.html,raw/response_meta/예금보험금 안내/BI-001.json,parsed/markdown/예금보험금 안내/BI-001.md,parsed/json/예금보험금 안내/BI-001.json,,,2026-07-21T11:20:41+09:00,2026-07-21T11:20:44+09:00
BI-002,예금보험금 안내,예금보험금 신청절차,parse_success,200.0,1185,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금보험금 안내/BI-002.html,raw/response_meta/예금보험금 안내/BI-002.json,parsed/markdown/예금보험금 안내/BI-002.md,parsed/json/예금보험금 안내/BI-002.json,,,2026-07-21T11:20:45+09:00,2026-07-21T11:20:47+09:00
BI-003,예금보험금 안내,예금보험금이란?,parse_success,200.0,2354,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금보험금 안내/BI-003.html,raw/response_meta/예금보험금 안내/BI-003.json,parsed/markdown/예금보험금 안내/BI-003.md,parsed/json/예금보험금 안내/BI-003.json,,,2026-07-21T11:20:48+09:00,2026-07-21T11:20:51+09:00
