parent_doc_id,business_function,attachment_download_policy,attachment_rag_policy,attachment_user_delivery_policy,attachment_id,display_name,file_format,detected_format,download_method,download_status,processing_policy,indexable,needs_review,classification_reason,attachment_role,contains_fillable_fields,contains_instructions,has_unique_information,duplicates_parent_content,is_scanned_candidate,ocr_required,extraction_quality,text_extraction_status,extracted_text_chars,source_page_url,official_download_url,download_url_observed,user_action_url,local_path,size_bytes,sha256,error,change_status,previous_sha256,previous_manifest_path
DP-003,예금자보호제도,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,57b9a22ec6377abb,엑셀 다운받기 (XLSX),XLSX,XLSX,gfn_downloadFile,downloaded,download_and_index,True,False,list 성격의 설명·목록 자료,list,False,False,True,False,False,False,good,success,16018,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,,blob:https://www.kdic.or.kr/d31c8d2b-de56-4eba-83ac-6d974a646c92,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,raw/assets/예금자보호제도/DP-003/attachments/57b9a22ec6377abb_(붙임) 부보금융회사 변동 현황(26년 1분기 기준)_홈페이지 공시.xlsx,44300,5cbb444ecc09114686562db59d4da2fc08bb9f384b605cd2e49c1d707de17c8d,,unchanged,5cbb444ecc09114686562db59d4da2fc08bb9f384b605cd2e49c1d707de17c8d,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
DP-003,예금자보호제도,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,3b79157f51d10c74,한글 다운받기 (FILE),FILE,DOCX,gfn_downloadFile,downloaded,download_and_index,True,False,list 성격의 설명·목록 자료,list,False,False,True,False,False,False,good,success,40543,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,,blob:https://www.kdic.or.kr/de8d9cba-92d3-45dd-b7a3-f456a2df4907,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,raw/assets/예금자보호제도/DP-003/attachments/3b79157f51d10c74_(붙임) 부보금융회사 목록(26년 1분기 기준)_홈페이지 공시.docx,78846,9ea0a9d70e1937eb4acf0dac06b4c381c730009c5b064807a0523bcaad3a03b5,,unchanged,9ea0a9d70e1937eb4acf0dac06b4c381c730009c5b064807a0523bcaad3a03b5,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,0216d5964161794e,예금보험금 등 지급청구 및 동의서 (HWP),HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,True,False,False,False,False,good,success,841,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/a064ba7c-7284-4afd-9197-1413266ec8c8,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/0216d5964161794e_예금보험금 등 지급청구 및 동의서.hwp,49152,851a47bf11a57a981f1bb61c0ec636e366388876031f19de68407d543d108d02,,unchanged,851a47bf11a57a981f1bb61c0ec636e366388876031f19de68407d543d108d02,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,6cc3eacc30147908,예금보험금 등 지급청구 및 동의서 (PDF),PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,True,False,False,False,False,good,success,651,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/0620714b-af5b-479b-8dc9-e106dd9644c3,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/6cc3eacc30147908_예금보험금 등 지급청구 및 동의서.pdf,84885,ece23859db4d7607b26dc466f3a75826a74172b720cb107b659223c43d6dd3cf,,unchanged,ece23859db4d7607b26dc466f3a75826a74172b720cb107b659223c43d6dd3cf,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,598adbcccfd94d70,위임장 (HWP),HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,561,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/538e8395-12ec-4947-962e-794353a933ee,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/598adbcccfd94d70_위임장.hwp,42496,33eff0033c882e9e6bab1903b2e23c293fb94bbd2cb2e997da7d13df62c9de46,,unchanged,33eff0033c882e9e6bab1903b2e23c293fb94bbd2cb2e997da7d13df62c9de46,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,d65abf6d8c7367e9,위임장 (PDF),PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,418,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/b7b90bce-eb8c-4333-b9d4-8e2e53f2a471,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/d65abf6d8c7367e9_위임장.pdf,64282,3583f5f138a87113f9b77e2224eb05a6a2f9bd125f3748447df47eaa9677bc52,,unchanged,3583f5f138a87113f9b77e2224eb05a6a2f9bd125f3748447df47eaa9677bc52,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,bf847d8484e81a9a,친권자합의서 (HWP),HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,True,설명 텍스트는 충분하지만 문서 역할이 불명확하여 사람 검토 필요,unknown,False,False,False,False,False,False,good,success,527,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/cd59a4b5-2b62-462b-b02f-4d88df10562f,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/bf847d8484e81a9a_친권자합의서.hwp,44544,d43a4b91670c6f0ad82fc591636a8c3e27da923efc5642f4507fa11056c97c78,,unchanged,d43a4b91670c6f0ad82fc591636a8c3e27da923efc5642f4507fa11056c97c78,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,66c5e9743dd29c15,친권자합의서 (PDF),PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,True,짧거나 설명 가치가 낮은 파일,unknown,True,False,False,False,False,False,good,success,389,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/4aac5f40-347e-4443-a418-093d2ff20894,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/66c5e9743dd29c15_친권자합의서.pdf,71886,2ea24afdb58a28d4e69dab598dade8ad9362f80168c145c152fb2b6210969342,,unchanged,2ea24afdb58a28d4e69dab598dade8ad9362f80168c145c152fb2b6210969342,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,8c3e3d1e9c6084df,지분신고서 및 수령권한 위임 동의서 (HWP),HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,1303,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/c4f8689d-46ae-44ac-b94f-2fa5ec552a5c,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/8c3e3d1e9c6084df_지분신고서 및 수령권한 위임 동의서.hwp,54784,f5346d1f6ccaa4b5cdc1d8853cc1c600fb5c440d85fddcb401fbc8846a0e1d9b,,unchanged,f5346d1f6ccaa4b5cdc1d8853cc1c600fb5c440d85fddcb401fbc8846a0e1d9b,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,0ff6e81f60108986,지분신고서 및 수령권한 위임 동의서 (PDF),PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,1008,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/4f3f7540-7665-4359-aa68-22bb38d10714,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/0ff6e81f60108986_지분신고서 및 수령권한 위임 동의서.pdf,93429,5cb091d188d855271869bb8157c71e9cfb1adca294a0fedb265c454a8a9668ac,,unchanged,5cb091d188d855271869bb8157c71e9cfb1adca294a0fedb265c454a8a9668ac,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
