doc_id,status,cache_hit,elapsed_seconds,error
DP-001,success,False,4.592,
DP-002,success,False,3.949,
DP-003,success,False,4.49,
DP-004,success,False,5.317,
DP-005,success,False,7.085,
DP-006,success,False,5.131,
DP-007,success,False,3.028,
BI-001,success,False,3.92,
BI-002,success,False,4.661,
BI-003,success,False,4.328,
BI-004,success,False,4.595,
UN-001,success,False,5.52,
UN-002,success,False,5.701,
UN-003,success,False,4.812,
UN-004,success,False,5.162,
MT-001,success,False,4.963,
MT-002,success,False,3.577,
MT-003,success,False,4.274,
MT-004,success,False,5.174,
MT-005,success,False,5.85,
MT-006,success,False,3.774,
MT-007,success,False,3.637,
MT-008,success,False,4.824,
MT-009,success,False,5.461,
MT-010,success,False,4.105,
MT-011,success,False,2.738,
MT-012,success,False,4.488,
MT-013,success,False,4.329,
MT-014,deterministic_non_content,False,0.0,
MT-015,success,False,4.153,
DA-001,success,False,4.881,
DA-002,success,False,3.915,
DA-003,success,False,5.994,
DA-004,success,False,4.883,
DA-005,success,False,4.628,
DA-006,success,False,5.455,
DA-007,success,False,4.101,
DA-008,success,False,4.205,
HP-001,success,False,4.455,
HP-002,success,False,4.131,
HP-003,success,False,3.638,
HP-004,deterministic_non_content,False,0.0,
MT-010_rule_layer01,success,False,6.958,
MT-010_operation_layer01,success,False,5.028,
DP-003-ATT-57b9a22e,success,False,3.444,
DP-003-ATT-3b79157f,success,False,4.608,
BI-001-ATT-0216d596,success,False,3.44,
BI-001-ATT-6cc3eacc,success,False,3.943,
BI-001-ATT-598adbcc,success,False,4.538,
BI-001-ATT-d65abf6d,success,False,4.115,
BI-001-ATT-bf847d84,success,False,3.902,
BI-001-ATT-66c5e974,success,False,4.514,
BI-001-ATT-8c3e3d1e,success,False,5.089,
BI-001-ATT-0ff6e81f,success,False,3.773,
BI-001-ATT-c1538f12,success,False,4.393,
BI-001-ATT-c3577595,success,False,3.351,
MT-007-ATT-1ac08b57,success,False,3.675,
MT-007-ATT-5a87fb97,success,False,3.358,
MT-007-ATT-5154f2b5,success,False,3.133,
MT-007-ATT-7103c0f0,success,False,3.187,
MT-008-ATT-1d6895ea,success,False,2.98,
MT-008-ATT-3868cbd6,success,False,3.98,
MT-008-ATT-bd67a665,success,False,3.37,
MT-008-ATT-7c956629,success,False,4.269,
MT-008-ATT-7adcf5c2,success,False,3.259,
MT-008-ATT-a05aa6e5,success,False,3.178,
MT-008-ATT-48bfcec7,success,False,3.611,
MT-008-ATT-16e3996e,success,False,3.533,
MT-008-ATT-e145d610,success,False,3.122,
MT-008-ATT-12610835,success,False,3.229,
MT-008-ATT-34802419,success,False,5.76,
MT-008-ATT-693c7d4b,success,False,3.366,
MT-008-ATT-4c454360,success,False,4.051,
MT-008-ATT-12e633a3,success,False,3.301,
MT-008-ATT-f145a2a4,success,False,3.757,
MT-008-ATT-04b2746d,success,False,3.756,
MT-008-ATT-c5c3859c,success,False,2.877,
MT-008-ATT-8523bf92,success,False,3.051,
MT-008-ATT-3050d7a6,success,False,3.321,
MT-008-ATT-838341b1,success,False,3.714,
MT-012-ATT-89506d13,success,False,4.231,
MT-012-ATT-5f05a186,success,False,4.204,
DA-007-ATT-975ba507,success,False,2.883,
DA-007-ATT-bee3f761,success,False,2.986,
DA-007-ATT-9b28385c,success,False,3.538,
HP-003-ATT-0d0f2cba,success,False,4.329,
HP-003-ATT-9001ad1d,success,False,3.314,
